"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Zwischbergen","Zwischbergen","Zwischbergen","VS",14.285714286,"Zwischbergen","Zwischbergen","Zwischbergen","VS","VS","VS",85.714285714,85.714285714,85.714285714
"2","Unteriberg","Unteriberg","Unteriberg","SZ",18.421052632,"Unteriberg","Unteriberg","Unteriberg","SZ","SZ","SZ",81.578947368,81.578947368,81.578947368
"3","Alpthal","Alpthal","Alpthal","SZ",22.596153846,"Alpthal","Alpthal","Alpthal","SZ","SZ","SZ",77.403846154,77.403846154,77.403846154
"4","Ederswiler","Ederswiler","Ederswiler","JU",23.529411765,"Ederswiler","Ederswiler","Ederswiler","JU","JU","JU",76.470588235,76.470588235,76.470588235
"5","Muotathal","Muotathal","Muotathal","SZ",25.341296928,"Muotathal","Muotathal","Muotathal","SZ","SZ","SZ",74.658703072,74.658703072,74.658703072
"6","Liedertswil","Liedertswil","Liedertswil","BL",27.027027027,"Liedertswil","Liedertswil","Liedertswil","BL","BL","BL",72.972972973,72.972972973,72.972972973
"7","Hospental","Hospental","Hospental","UR",27.272727273,"Hospental","Hospental","Hospental","UR","UR","UR",72.727272727,72.727272727,72.727272727
"8","Volken","Volken","Volken","ZH",27.868852459,"Volken","Volken","Volken","ZH","ZH","ZH",72.131147541,72.131147541,72.131147541
"9","Vorderthal","Vorderthal","Vorderthal","SZ",27.868852459,"Vorderthal","Vorderthal","Vorderthal","SZ","SZ","SZ",72.131147541,72.131147541,72.131147541
"10","Riemenstalden","Riemenstalden","Riemenstalden","SZ",30,"Riemenstalden","Riemenstalden","Riemenstalden","SZ","SZ","SZ",70,70,70
"11","Dozwil","Dozwil","Dozwil","TG",30.530973451,"Dozwil","Dozwil","Dozwil","TG","TG","TG",69.469026549,69.469026549,69.469026549
"12","Steinerberg","Steinerberg","Steinerberg","SZ",30.798479087,"Steinerberg","Steinerberg","Steinerberg","SZ","SZ","SZ",69.201520913,69.201520913,69.201520913
"13","Rothenthurm","Rothenthurm","Rothenthurm","SZ",30.875576037,"Rothenthurm","Rothenthurm","Rothenthurm","SZ","SZ","SZ",69.124423963,69.124423963,69.124423963
"14","Hallwil","Hallwil","Hallwil","AG",30.882352941,"Hallwil","Hallwil","Hallwil","AG","AG","AG",69.117647059,69.117647059,69.117647059
"15","Därstetten","Därstetten","Därstetten","BE",31.400966184,"Därstetten","Därstetten","Därstetten","BE","BE","BE",68.599033816,68.599033816,68.599033816
"16","Oberiberg","Oberiberg","Oberiberg","SZ",31.818181818,"Oberiberg","Oberiberg","Oberiberg","SZ","SZ","SZ",68.181818182,68.181818182,68.181818182
"17","Holziken","Holziken","Holziken","AG",31.818181818,"Holziken","Holziken","Holziken","AG","AG","AG",68.181818182,68.181818182,68.181818182
"18","Raperswilen","Raperswilen","Raperswilen","TG",33.018867925,"Raperswilen","Raperswilen","Raperswilen","TG","TG","TG",66.981132075,66.981132075,66.981132075
"19","Illgau","Illgau","Illgau","SZ",33.463035019,"Illgau","Illgau","Illgau","SZ","SZ","SZ",66.536964981,66.536964981,66.536964981
"20","Bretzwil","Bretzwil","Bretzwil","BL",33.47826087,"Bretzwil","Bretzwil","Bretzwil","BL","BL","BL",66.52173913,66.52173913,66.52173913
"21","Fischbach","Fischbach","Fischbach","LU",33.522727273,"Fischbach","Fischbach","Fischbach","LU","LU","LU",66.477272727,66.477272727,66.477272727
"22","Leutwil","Leutwil","Leutwil","AG",33.632286996,"Leutwil","Leutwil","Leutwil","AG","AG","AG",66.367713004,66.367713004,66.367713004
"23","Greng","Greng","Greng","FR",33.898305085,"Greng","Greng","Greng","FR","FR","FR",66.101694915,66.101694915,66.101694915
