"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Mauraz","Mauraz","Mauraz","VD",100,"Mauraz","Mauraz","Mauraz","VD","VD","VD",100,100,100
"2","Rueyres","Rueyres","Rueyres","VD",94.186046512,"Rueyres","Rueyres","Rueyres","VD","VD","VD",94.186046512,94.186046512,94.186046512
"3","Arnex-sur-Nyon","Arnex-sur-Nyon","Arnex-sur-Nyon","VD",93.670886076,"Arnex-sur-Nyon","Arnex-sur-Nyon","Arnex-sur-Nyon","VD","VD","VD",93.670886076,93.670886076,93.670886076
"4","La Chaux (Cossonay)","La Chaux (Cossonay)","La Chaux (Cossonay)","VD",92.660550459,"La Chaux (Cossonay)","La Chaux (Cossonay)","La Chaux (Cossonay)","VD","VD","VD",92.660550459,92.660550459,92.660550459
"5","Chevilly","Chevilly","Chevilly","VD",92.134831461,"Chevilly","Chevilly","Chevilly","VD","VD","VD",92.134831461,92.134831461,92.134831461
"6","Treycovagnes","Treycovagnes","Treycovagnes","VD",91.891891892,"Treycovagnes","Treycovagnes","Treycovagnes","VD","VD","VD",91.891891892,91.891891892,91.891891892
"7","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD",91.803278689,"Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD","VD","VD",91.803278689,91.803278689,91.803278689
"8","Démoret","Démoret","Démoret","VD",91.803278689,"Démoret","Démoret","Démoret","VD","VD","VD",91.803278689,91.803278689,91.803278689
"9","Saint-Livres","Saint-Livres","Saint-Livres","VD",91.666666667,"Saint-Livres","Saint-Livres","Saint-Livres","VD","VD","VD",91.666666667,91.666666667,91.666666667
"10","Lovatens","Lovatens","Lovatens","VD",90.909090909,"Lovatens","Lovatens","Lovatens","VD","VD","VD",90.909090909,90.909090909,90.909090909
"11","Ferreyres","Ferreyres","Ferreyres","VD",90.526315789,"Ferreyres","Ferreyres","Ferreyres","VD","VD","VD",90.526315789,90.526315789,90.526315789
"12","Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD",90.366972477,"Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD","VD","VD",90.366972477,90.366972477,90.366972477
"13","Clarmont","Clarmont","Clarmont","VD",90,"Clarmont","Clarmont","Clarmont","VD","VD","VD",90,90,90
"14","Chigny","Chigny","Chigny","VD",89.830508475,"Chigny","Chigny","Chigny","VD","VD","VD",89.830508475,89.830508475,89.830508475
"15","Bofflens","Bofflens","Bofflens","VD",89.655172414,"Bofflens","Bofflens","Bofflens","VD","VD","VD",89.655172414,89.655172414,89.655172414
"16","Orzens","Orzens","Orzens","VD",89.473684211,"Orzens","Orzens","Orzens","VD","VD","VD",89.473684211,89.473684211,89.473684211
"17","La Sonnaz","La Sonnaz","La Sonnaz","FR",88.92733564,"La Sonnaz","La Sonnaz","La Sonnaz","FR","FR","FR",88.92733564,88.92733564,88.92733564
"18","Missy","Missy","Missy","VD",88.785046729,"Missy","Missy","Missy","VD","VD","VD",88.785046729,88.785046729,88.785046729
"19","Arnex-sur-Orbe","Arnex-sur-Orbe","Arnex-sur-Orbe","VD",88.75,"Arnex-sur-Orbe","Arnex-sur-Orbe","Arnex-sur-Orbe","VD","VD","VD",88.75,88.75,88.75
"20","Rivaz","Rivaz","Rivaz","VD",88.636363636,"Rivaz","Rivaz","Rivaz","VD","VD","VD",88.636363636,88.636363636,88.636363636
"21","Etagnières","Etagnières","Etagnières","VD",88.196721311,"Etagnières","Etagnières","Etagnières","VD","VD","VD",88.196721311,88.196721311,88.196721311
"22","Allaman","Allaman","Allaman","VD",88.095238095,"Allaman","Allaman","Allaman","VD","VD","VD",88.095238095,88.095238095,88.095238095
"23","Vinzel","Vinzel","Vinzel","VD",87.962962963,"Vinzel","Vinzel","Vinzel","VD","VD","VD",87.962962963,87.962962963,87.962962963
"24","Bursinel","Bursinel","Bursinel","VD",87.826086957,"Bursinel","Bursinel","Bursinel","VD","VD","VD",87.826086957,87.826086957,87.826086957
"25","Tartegnin","Tartegnin","Tartegnin","VD",87.755102041,"Tartegnin","Tartegnin","Tartegnin","VD","VD","VD",87.755102041,87.755102041,87.755102041
"26","Ogens","Ogens","Ogens","VD",87.671232877,"Ogens","Ogens","Ogens","VD","VD","VD",87.671232877,87.671232877,87.671232877
"27","Trey","Trey","Trey","VD",87.671232877,"Trey","Trey","Trey","VD","VD","VD",87.671232877,87.671232877,87.671232877
"28","Corcelles-près-Concise","Corcelles-près-Concise","Corcelles-près-Concise","VD",87.368421053,"Corcelles-près-Concise","Corcelles-près-Concise","Corcelles-près-Concise","VD","VD","VD",87.368421053,87.368421053,87.368421053
"29","Fiez","Fiez","Fiez","VD",87.313432836,"Fiez","Fiez","Fiez","VD","VD","VD",87.313432836,87.313432836,87.313432836
"30","Vaulruz","Vaulruz","Vaulruz","FR",87.30964467,"Vaulruz","Vaulruz","Vaulruz","FR","FR","FR",87.30964467,87.30964467,87.30964467
"31","Vullierens","Vullierens","Vullierens","VD",87.209302326,"Vullierens","Vullierens","Vullierens","VD","VD","VD",87.209302326,87.209302326,87.209302326
"32","Giez","Giez","Giez","VD",86.991869919,"Giez","Giez","Giez","VD","VD","VD",86.991869919,86.991869919,86.991869919
"33","Vich","Vich","Vich","VD",86.852589641,"Vich","Vich","Vich","VD","VD","VD",86.852589641,86.852589641,86.852589641
"34","Senarclens","Senarclens","Senarclens","VD",86.725663717,"Senarclens","Senarclens","Senarclens","VD","VD","VD",86.725663717,86.725663717,86.725663717
"35","Givrins","Givrins","Givrins","VD",86.513157895,"Givrins","Givrins","Givrins","VD","VD","VD",86.513157895,86.513157895,86.513157895
"36","Mex (VD)","Mex VD","Mex VD","VD",86.503067485,"Mex (VD)","Mex VD","Mex VD","VD","VD","VD",86.503067485,86.503067485,86.503067485
"37","Etoy","Etoy","Etoy","VD",86.486486486,"Etoy","Etoy","Etoy","VD","VD","VD",86.486486486,86.486486486,86.486486486
"38","Duillier","Duillier","Duillier","VD",86.451612903,"Duillier","Duillier","Duillier","VD","VD","VD",86.451612903,86.451612903,86.451612903
"39","Le Châtelard","Le Châtelard","Le Châtelard","FR",86.440677966,"Le Châtelard","Le Châtelard","Le Châtelard","FR","FR","FR",86.440677966,86.440677966,86.440677966
"40","Penthéréaz","Penthéréaz","Penthéréaz","VD",86.40776699,"Penthéréaz","Penthéréaz","Penthéréaz","VD","VD","VD",86.40776699,86.40776699,86.40776699
"41","Veysonnaz","Veysonnaz","Veysonnaz","VS",86.40776699,"Veysonnaz","Veysonnaz","Veysonnaz","VS","VS","VS",86.40776699,86.40776699,86.40776699
"42","Bavois","Bavois","Bavois","VD",86.363636364,"Bavois","Bavois","Bavois","VD","VD","VD",86.363636364,86.363636364,86.363636364
"43","Vucherens","Vucherens","Vucherens","VD",86.163522013,"Vucherens","Vucherens","Vucherens","VD","VD","VD",86.163522013,86.163522013,86.163522013
"44","Bottens","Bottens","Bottens","VD",85.942492013,"Bottens","Bottens","Bottens","VD","VD","VD",85.942492013,85.942492013,85.942492013
"45","Boussens","Boussens","Boussens","VD",85.769230769,"Boussens","Boussens","Boussens","VD","VD","VD",85.769230769,85.769230769,85.769230769
"46","Suscévaz","Suscévaz","Suscévaz","VD",85.714285714,"Suscévaz","Suscévaz","Suscévaz","VD","VD","VD",85.714285714,85.714285714,85.714285714
"47","Riaz","Riaz","Riaz","FR",85.616438356,"Riaz","Riaz","Riaz","FR","FR","FR",85.616438356,85.616438356,85.616438356
"48","Tannay","Tannay","Tannay","VD",85.613207547,"Tannay","Tannay","Tannay","VD","VD","VD",85.613207547,85.613207547,85.613207547
"49","Orny","Orny","Orny","VD",85.576923077,"Orny","Orny","Orny","VD","VD","VD",85.576923077,85.576923077,85.576923077
"50","Ormont-Dessus","Ormont-Dessus","Ormont-Dessus","VD",85.555555556,"Ormont-Dessus","Ormont-Dessus","Ormont-Dessus","VD","VD","VD",85.555555556,85.555555556,85.555555556
