"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"15","Grens","Grens","Grens","VD",81.25,"Grens","Grens","Grens","VD","VD","VD",81.25,81.25,81.25
"16","Clarmont","Clarmont","Clarmont","VD",81.132075472,"Clarmont","Clarmont","Clarmont","VD","VD","VD",81.132075472,81.132075472,81.132075472
"17","Croy","Croy","Croy","VD",80.869565217,"Croy","Croy","Croy","VD","VD","VD",80.869565217,80.869565217,80.869565217
"18","Corsier-sur-Vevey","Corsier-sur-Vevey","Corsier-sur-Vevey","VD",80.816326531,"Corsier-sur-Vevey","Corsier-sur-Vevey","Corsier-sur-Vevey","VD","VD","VD",80.816326531,80.816326531,80.816326531
"19","Givrins","Givrins","Givrins","VD",80.479452055,"Givrins","Givrins","Givrins","VD","VD","VD",80.479452055,80.479452055,80.479452055
"20","Fiez","Fiez","Fiez","VD",80.46875,"Fiez","Fiez","Fiez","VD","VD","VD",80.46875,80.46875,80.46875
"21","Faoug","Faoug","Faoug","VD",80,"Faoug","Faoug","Faoug","VD","VD","VD",80,80,80
"22","Orny","Orny","Orny","VD",80,"Orny","Orny","Orny","VD","VD","VD",80,80,80
"23","Chexbres","Chexbres","Chexbres","VD",79.833333333,"Chexbres","Chexbres","Chexbres","VD","VD","VD",79.833333333,79.833333333,79.833333333
"24","Chevilly","Chevilly","Chevilly","VD",79.761904762,"Chevilly","Chevilly","Chevilly","VD","VD","VD",79.761904762,79.761904762,79.761904762
"25","Bofflens","Bofflens","Bofflens","VD",79.661016949,"Bofflens","Bofflens","Bofflens","VD","VD","VD",79.661016949,79.661016949,79.661016949
"26","Denges","Denges","Denges","VD",79.652605459,"Denges","Denges","Denges","VD","VD","VD",79.652605459,79.652605459,79.652605459
"27","Aclens","Aclens","Aclens","VD",79.487179487,"Aclens","Aclens","Aclens","VD","VD","VD",79.487179487,79.487179487,79.487179487
"28","Pully","Pully","Pully","VD",79.4375,"Pully","Pully","Pully","VD","VD","VD",79.4375,79.4375,79.4375
"29","Lully (VD)","Lully VD","Lully VD","VD",79.399141631,"Lully (VD)","Lully VD","Lully VD","VD","VD","VD",79.399141631,79.399141631,79.399141631
"30","Berolle","Berolle","Berolle","VD",79.220779221,"Berolle","Berolle","Berolle","VD","VD","VD",79.220779221,79.220779221,79.220779221
"31","Servion","Servion","Servion","VD",79.166666667,"Servion","Servion","Servion","VD","VD","VD",79.166666667,79.166666667,79.166666667
"32","Longirod","Longirod","Longirod","VD",79.136690647,"Longirod","Longirod","Longirod","VD","VD","VD",79.136690647,79.136690647,79.136690647
"33","Orges","Orges","Orges","VD",79.120879121,"Orges","Orges","Orges","VD","VD","VD",79.120879121,79.120879121,79.120879121
"34","Leysin","Leysin","Leysin","VD",79.110251451,"Leysin","Leysin","Leysin","VD","VD","VD",79.110251451,79.110251451,79.110251451
"35","Molondin","Molondin","Molondin","VD",79.104477612,"Molondin","Molondin","Molondin","VD","VD","VD",79.104477612,79.104477612,79.104477612
"36","Saint-George","Saint-George","Saint-George","VD",79.05982906,"Saint-George","Saint-George","Saint-George","VD","VD","VD",79.05982906,79.05982906,79.05982906
"37","Bursins","Bursins","Bursins","VD",78.947368421,"Bursins","Bursins","Bursins","VD","VD","VD",78.947368421,78.947368421,78.947368421
"38","Bourg-en-Lavaux","Bourg-en-Lavaux","Bourg-en-Lavaux","VD",78.91025641,"Bourg-en-Lavaux","Bourg-en-Lavaux","Bourg-en-Lavaux","VD","VD","VD",78.91025641,78.91025641,78.91025641
"39","Ballens","Ballens","Ballens","VD",78.787878788,"Ballens","Ballens","Ballens","VD","VD","VD",78.787878788,78.787878788,78.787878788
"40","Tannay","Tannay","Tannay","VD",78.672985782,"Tannay","Tannay","Tannay","VD","VD","VD",78.672985782,78.672985782,78.672985782
"41","Grandson","Grandson","Grandson","VD",78.625,"Grandson","Grandson","Grandson","VD","VD","VD",78.625,78.625,78.625
"42","Syens","Syens","Syens","VD",78.571428571,"Syens","Syens","Syens","VD","VD","VD",78.571428571,78.571428571,78.571428571
"43","Treycovagnes","Treycovagnes","Treycovagnes","VD",78.571428571,"Treycovagnes","Treycovagnes","Treycovagnes","VD","VD","VD",78.571428571,78.571428571,78.571428571
"44","Ferreyres","Ferreyres","Ferreyres","VD",78.409090909,"Ferreyres","Ferreyres","Ferreyres","VD","VD","VD",78.409090909,78.409090909,78.409090909
"45","Vich","Vich","Vich","VD",78.4,"Vich","Vich","Vich","VD","VD","VD",78.4,78.4,78.4
"46","Etoy","Etoy","Etoy","VD",78.317152104,"Etoy","Etoy","Etoy","VD","VD","VD",78.317152104,78.317152104,78.317152104
"47","Trélex","Trélex","Trélex","VD",78.313253012,"Trélex","Trélex","Trélex","VD","VD","VD",78.313253012,78.313253012,78.313253012
"48","Cheseaux-sur-Lausanne","Cheseaux-sur-Lausanne","Cheseaux-sur-Lausanne","VD",78.224299065,"Cheseaux-sur-Lausanne","Cheseaux-sur-Lausanne","Cheseaux-sur-Lausanne","VD","VD","VD",78.224299065,78.224299065,78.224299065
"49","Founex","Founex","Founex","VD",78.10880829,"Founex","Founex","Founex","VD","VD","VD",78.10880829,78.10880829,78.10880829
"50","Chardonne","Chardonne","Chardonne","VD",78.057553957,"Chardonne","Chardonne","Chardonne","VD","VD","VD",78.057553957,78.057553957,78.057553957
