"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Mauraz","Mauraz","Mauraz","VD",100,"Mauraz","Mauraz","Mauraz","VD","VD","VD",100,100,100
"2","Rivaz","Rivaz","Rivaz","VD",89.763779528,"Rivaz","Rivaz","Rivaz","VD","VD","VD",89.763779528,89.763779528,89.763779528
"3","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD",87.394957983,"Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD","VD","VD",87.394957983,87.394957983,87.394957983
"4","Les Clées","Les Clées","Les Clées","VD",86.885245902,"Les Clées","Les Clées","Les Clées","VD","VD","VD",86.885245902,86.885245902,86.885245902
"5","Allaman","Allaman","Allaman","VD",86.4,"Allaman","Allaman","Allaman","VD","VD","VD",86.4,86.4,86.4
"6","Dizy","Dizy","Dizy","VD",84.057971014,"Dizy","Dizy","Dizy","VD","VD","VD",84.057971014,84.057971014,84.057971014
"7","Pompaples","Pompaples","Pompaples","VD",84.049079755,"Pompaples","Pompaples","Pompaples","VD","VD","VD",84.049079755,84.049079755,84.049079755
"8","Villars-sous-Yens","Villars-sous-Yens","Villars-sous-Yens","VD",83.03030303,"Villars-sous-Yens","Villars-sous-Yens","Villars-sous-Yens","VD","VD","VD",83.03030303,83.03030303,83.03030303
"9","Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD",82.488479263,"Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD","VD","VD",82.488479263,82.488479263,82.488479263
"10","Senarclens","Senarclens","Senarclens","VD",81.818181818,"Senarclens","Senarclens","Senarclens","VD","VD","VD",81.818181818,81.818181818,81.818181818
"11","Bussy-sur-Moudon","Bussy-sur-Moudon","Bussy-sur-Moudon","VD",81.632653061,"Bussy-sur-Moudon","Bussy-sur-Moudon","Bussy-sur-Moudon","VD","VD","VD",81.632653061,81.632653061,81.632653061
"12","Vinzel","Vinzel","Vinzel","VD",81.553398058,"Vinzel","Vinzel","Vinzel","VD","VD","VD",81.553398058,81.553398058,81.553398058
"13","Mauborget","Mauborget","Mauborget","VD",81.355932203,"Mauborget","Mauborget","Mauborget","VD","VD","VD",81.355932203,81.355932203,81.355932203
"14","Vevey","Vevey","Vevey","VD",81.255714721,"Vevey","Vevey","Vevey","VD","VD","VD",81.255714721,81.255714721,81.255714721
